database,scale_factor,query_type,min,mean,median,max,stddev,sum,count,wall_clock_time
influx,50,avg-daily-driving-duration,1873.28,3275.24,3249.53,3785.98,159.19,1637600.000,500,205737.516
influx,50,avg-daily-driving-session,2997.89,4497.85,4550.91,5245.18,277.53,2248900.000,500,282291.963
influx,50,avg-load,59455.49,81709.67,81842.18,84324.35,2034.09,40854900.000,500,5135659.867
influx,50,avg-vs-projected-fuel-consumption,2255.23,8372.62,8393.73,15124.48,1662.60,4186300.000,500,524895.525
influx,50,breakdown-frequency,18929.66,28946.21,29112.32,30469.12,1043.09,14473100.000,500,1818595.304
influx,50,daily-activity,1178.50,2238.40,2231.93,2630.40,126.27,1119200.000,500,140427.467
influx,50,high-load,2.63,8.53,8.10,34.53,3.51,4300.000,500,544.474
influx,50,last-loc,3.10,10.93,8.96,114.61,11.24,5500.000,500,697.984
influx,50,long-daily-sessions,17.30,52.55,50.81,117.97,16.70,26300.000,500,3300.395
influx,50,long-driving-sessions,4.42,12.15,11.43,37.65,4.42,6100.000,500,769.871
influx,50,low-fuel,4.62,13.24,13.11,24.78,4.55,6600.000,500,839.689
influx,50,stationary-trucks,23.61,43.89,43.12,71.11,7.21,21900.000,500,2762.454
timescaledb,50,avg-daily-driving-duration,2723.58,7287.36,3529.60,30309.38,7729.34,3643700.000,500,460592.980
timescaledb,50,avg-daily-driving-session,1978.18,7253.70,3437.82,31688.70,7944.87,3626900.000,500,457699.624
timescaledb,50,avg-load,1872.64,4036.15,3011.71,12890.62,2583.23,2018100.000,500,253552.180
timescaledb,50,avg-vs-projected-fuel-consumption,6279.42,25787.65,14072.83,182181.89,25130.26,12893800.000,500,1620141.451
timescaledb,50,breakdown-frequency,2370.94,6717.31,3576.19,29442.05,6768.54,3358700.000,500,423978.191
timescaledb,50,daily-activity,3099.65,8360.00,3858.56,39948.29,9854.94,4180000.000,500,530161.793
timescaledb,50,high-load,0.43,1.65,1.27,23.77,2.32,800.000,500,110.158
timescaledb,50,last-loc,0.43,2.92,1.32,95.26,11.74,1500.000,500,206.427
timescaledb,50,long-daily-sessions,514.22,842.68,771.65,2348.16,269.56,421300.000,500,53126.804
timescaledb,50,long-driving-sessions,74.94,205.64,145.66,2141.70,175.20,102800.000,500,12918.244
timescaledb,50,low-fuel,0.46,2.42,1.32,63.02,7.65,1200.000,500,165.947
timescaledb,50,stationary-trucks,4.21,56.33,75.60,123.19,36.27,28200.000,500,3555.730
